;InChiKey;SMILES;N_count;Solvent;Target1;Target2;Target3;Target4;
12;MCRMUCXATQAAMN-HNNXBMFYSA-N;C1=CC=C(C=C1)COC(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)O;1;DMSO;-292.6;;;;
13;MCRMUCXATQAAMN-HNNXBMFYSA-N;C1=CC=C(C=C1)COC(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)O;1;;;;;;
36;JRKMVLFFQOHRHM-VHSXEESVSA-N;C[C@H]1CC[C@H]2CCCCN2C1;1;CDCl3;-53.2;;;;
37;JRKMVLFFQOHRHM-VHSXEESVSA-N;C[C@H]1CC[C@H]2CCCCN2C1;1;;;;;;
38;OISVCGZHLKNMSJ-UHFFFAOYSA-O;CC1=[NH+]C(=CC=C1)C;1;TFA(C=14.5MOL%);-177.0;;;;
39;OISVCGZHLKNMSJ-UHFFFAOYSA-O;CC1=[NH+]C(=CC=C1)C;1;Neat liquid;-171.7;;;;
40;OISVCGZHLKNMSJ-UHFFFAOYSA-O;CC1=[NH+]C(=CC=C1)C;1;CHCl;-64.7;;;;
41;OISVCGZHLKNMSJ-UHFFFAOYSA-O;CC1=[NH+]C(=CC=C1)C;1;TFE;-88.3;;;;
42;OISVCGZHLKNMSJ-UHFFFAOYSA-O;CC1=[NH+]C(=CC=C1)C;1;;;;;;
43;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;CHCl3 ;-69.1;;;;
44;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;TFE ;-92.7;;;;
45;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;"DMSO;CR(ACAC)3";-64.9;;;;
46;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;DMSO-D6 ;-64.9;;;;
47;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;CDCl3;-70.6;;;;
48;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;Neat liquid;-62.4;;;;
49;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;;;;;;
50;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;;;;;;
51;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;;;;;;
52;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;;;;;;
53;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;;;;;;
54;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;;;;;;
55;OISVCGZHLKNMSJ-UHFFFAOYSA-N;CC1=NC(=CC=C1)C;1;;;;;;
92;SMUQFGGVLNAIOZ-UHFFFAOYSA-N;CC1=NC2=CC=CC=C2C=C1;1;(CH3)2SO4;-73.1;;;;
93;SMUQFGGVLNAIOZ-UHFFFAOYSA-N;CC1=NC2=CC=CC=C2C=C1;1;;;;;;
100;SKKSWNSECDCYOD-ALCCZGGFSA-N;CC(C)N/C(=C\C(=O)C)/C;1;CDCl3 ;-249.2;;;;
101;SKKSWNSECDCYOD-ALCCZGGFSA-N;CC(C)N/C(=C\C(=O)C)/C;1;C6D6 ;-253.0;;;;
102;SKKSWNSECDCYOD-ALCCZGGFSA-N;CC(C)N/C(=C\C(=O)C)/C;1;;;;;;
103;SKKSWNSECDCYOD-ALCCZGGFSA-N;CC(C)N/C(=C\C(=O)C)/C;1;;;;;;
104;ADAKRBAJFHTIEW-UHFFFAOYSA-N;C1=CC(=CC=C1N=C=O)Cl;1;NA;-334.0;;;;
105;ADAKRBAJFHTIEW-UHFFFAOYSA-N;C1=CC(=CC=C1N=C=O)Cl;1;;;;;;
106;ADAKRBAJFHTIEW-UHFFFAOYSA-N;C1=CC(=CC=C1N=C=O)Cl;1;;;;;;
109;GAJDGWHXJQBONI-UHFFFAOYSA-N;[B-](F)(F)(F)F.CC1(CCCC([N+]1=O)(C)C)C;1;C?H?O?S;-136.0;;;;
110;GAJDGWHXJQBONI-UHFFFAOYSA-N;[B-](F)(F)(F)F.CC1(CCCC([N+]1=O)(C)C)C;1;;;;;;
119;POTIYWUALSJREP-UHFFFAOYSA-N;C1CCC2C(C1)CCCN2;1;C6H6;-325.9;;;;
120;POTIYWUALSJREP-UHFFFAOYSA-N;C1CCC2C(C1)CCCN2;1;C6D6;-336.5;;;;
121;POTIYWUALSJREP-UHFFFAOYSA-N;C1CCC2C(C1)CCCN2;1;Hexane;-331.6;;;;
122;POTIYWUALSJREP-UHFFFAOYSA-N;C1CCC2C(C1)CCCN2;1;;;;;;
123;POTIYWUALSJREP-UHFFFAOYSA-N;C1CCC2C(C1)CCCN2;1;;;;;;
124;POTIYWUALSJREP-UHFFFAOYSA-N;C1CCC2C(C1)CCCN2;1;;;;;;
125;POTIYWUALSJREP-UHFFFAOYSA-N;C1CCC2C(C1)CCCN2;1;;;;;;
126;POTIYWUALSJREP-UHFFFAOYSA-N;C1CCC2C(C1)CCCN2;1;;;;;;
127;POTIYWUALSJREP-UHFFFAOYSA-N;C1CCC2C(C1)CCCN2;1;;;;;;
128;POTIYWUALSJREP-UHFFFAOYSA-N;C1CCC2C(C1)CCCN2;1;;;;;;
129;POTIYWUALSJREP-UHFFFAOYSA-O;C1CCC2C(C1)CCC[NH2+]2;1;Hexane;-335.2;;;;
130;POTIYWUALSJREP-UHFFFAOYSA-O;C1CCC2C(C1)CCC[NH2+]2;1;;;;;;
131;POTIYWUALSJREP-UHFFFAOYSA-O;C1CCC2C(C1)CCC[NH2+]2;1;;;;;;
132;POTIYWUALSJREP-UHFFFAOYSA-O;C1CCC2C(C1)CCC[NH2+]2;1;;;;;;
133;POTIYWUALSJREP-UHFFFAOYSA-O;C1CCC2C(C1)CCC[NH2+]2;1;;;;;;
134;POTIYWUALSJREP-UHFFFAOYSA-O;C1CCC2C(C1)CCC[NH2+]2;1;;;;;;
137;MFUPLHQOVIUESQ-JEDNCBNOSA-N;COC(=O)CC[C@@H](C(=O)OC)[NH3+].[Cl-];1;H2O;-336.6;;;;
138;MFUPLHQOVIUESQ-JEDNCBNOSA-N;COC(=O)CC[C@@H](C(=O)OC)[NH3+].[Cl-];1;DMSO ;-333.4;;;;
139;MFUPLHQOVIUESQ-JEDNCBNOSA-N;COC(=O)CC[C@@H](C(=O)OC)[NH3+].[Cl-];1;;;;;;
140;MFUPLHQOVIUESQ-JEDNCBNOSA-N;COC(=O)CC[C@@H](C(=O)OC)[NH3+].[Cl-];1;;;;;;
141;UBIBYOPVQZPBPZ-JHIQODARSA-N;C[C@@H]1CCCC[C@@H]1NC(C)C2=CC=CC=C2;1;CDCl3;-318.9;;;;
142;UBIBYOPVQZPBPZ-JHIQODARSA-N;C[C@@H]1CCCC[C@@H]1NC(C)C2=CC=CC=C2;1;;;;;;
147;GLCRDWZYRKGLLT-UHFFFAOYSA-N;CN(C)P(F)F;1;"CHCl3;CR(ACAC)3";-317.5;;;;
148;GLCRDWZYRKGLLT-UHFFFAOYSA-N;CN(C)P(F)F;1;;;;;;
153;HYFPHEFWLVDMDX-UHFFFAOYSA-N;CC(C)(C)[Sn](C(C)(C)C)(C(C)(C)C)N1C=CC2=CC=CC=C21;1;C6D6 ;-240.8;;;;
154;HYFPHEFWLVDMDX-UHFFFAOYSA-N;CC(C)(C)[Sn](C(C)(C)C)(C(C)(C)C)N1C=CC2=CC=CC=C21;1;;;;;;
157;WNSXUAGCWVZDQC-UHFFFAOYSA-N;CCNS(=O)(=O)C1=CC=CC=C1;1;DMSO ;-279.7;;;;
158;WNSXUAGCWVZDQC-UHFFFAOYSA-N;CCNS(=O)(=O)C1=CC=CC=C1;1;;;;;;
159;VQHQADFZPDHVME-UHFFFAOYSA-N;CN1C(C2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C=C4)OCO6)OC)OCO3)O;1;CDCl3;-252.8;;;;
160;VQHQADFZPDHVME-UHFFFAOYSA-N;CN1C(C2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C=C4)OCO6)OC)OCO3)O;1;;;;;;
172;OVXXKHMDHLZQRL-UHFFFAOYSA-N;CCN(CCOC=O)C=O;1;Neat liquid;-255.1;;;;
180;WFKUEZOYYWRSPW-UHFFFAOYSA-N;CCC1=C2CCCCC2=NC3=C1CCCC3;1;CDCl3 ;-80.0;;;;
181;WFKUEZOYYWRSPW-UHFFFAOYSA-N;CCC1=C2CCCCC2=NC3=C1CCCC3;1;;;;;;
188;DHMQDGOQFOQNFH-UHFFFAOYSA-N;C(C(=O)O)N;1;D2O;-349.4;;;;
189;DHMQDGOQFOQNFH-UHFFFAOYSA-N;C(C(=O)O)N;1;;;;;;
190;DHMQDGOQFOQNFH-UHFFFAOYSA-N;C(C(=O)O)N;1;;;;;;
191;DHMQDGOQFOQNFH-UHFFFAOYSA-N;C(C(=O)O)N;1;;;;;;
192;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;D2O;-345.6;;;;
193;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;H2O;-352.0;;;;
194;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
195;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
196;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
197;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
198;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
199;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
200;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
201;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
202;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
203;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
204;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
205;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
206;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
207;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
208;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
209;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
210;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
211;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
212;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
213;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
214;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
215;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
216;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
217;DHMQDGOQFOQNFH-UHFFFAOYSA-O;C(C(=O)O)[NH3+];1;;;;;;
225;VYFYELQQECQPHU-UHFFFAOYSA-N;CC1=NC2=CC=CC=C2[Se]1;1;"DMSO;CR(ACAC)3";-61.5;;;;
226;VYFYELQQECQPHU-UHFFFAOYSA-N;CC1=NC2=CC=CC=C2[Se]1;1;;;;;;
